"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"2","0.010736","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"3","22.511562","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"4","22.573050","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"5","42.781448","PcsCompu_3c:b5:2b","Broadcast","ARP","60","ARP Announcement for 10.0.0.2"
"6","42.781448","10.0.0.2","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.251 for any sources"
"7","42.781448","::","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"8","42.829418","::","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"9","42.833414","10.0.0.2","224.0.0.251","MDNS","261","Standard query 0x0000 ANY 2.c.e.3.6.6.3.1.4.8.1.f.e.2.5.d.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY luiseduardo-VirtualBox.local, ""QM"" question ANY 2.0.0.10.in-addr.arpa, ""QM"" question A 10.0.0.2 PTR luiseduardo-VirtualBox.local AAAA fe80::d52e:f184:1366:3ec2 PTR luiseduardo-VirtualBox.local"
"10","42.873092","10.0.0.2","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"11","43.085543","10.0.0.2","224.0.0.251","MDNS","261","Standard query 0x0000 ANY 2.c.e.3.6.6.3.1.4.8.1.f.e.2.5.d.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY luiseduardo-VirtualBox.local, ""QM"" question ANY 2.0.0.10.in-addr.arpa, ""QM"" question A 10.0.0.2 PTR luiseduardo-VirtualBox.local AAAA fe80::d52e:f184:1366:3ec2 PTR luiseduardo-VirtualBox.local"
"12","43.334265","10.0.0.2","224.0.0.251","MDNS","261","Standard query 0x0000 ANY 2.c.e.3.6.6.3.1.4.8.1.f.e.2.5.d.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY luiseduardo-VirtualBox.local, ""QM"" question ANY 2.0.0.10.in-addr.arpa, ""QM"" question A 10.0.0.2 PTR luiseduardo-VirtualBox.local AAAA fe80::d52e:f184:1366:3ec2 PTR luiseduardo-VirtualBox.local"
"13","43.535042","10.0.0.2","224.0.0.251","MDNS","243","Standard query response 0x0000 PTR, cache flush luiseduardo-VirtualBox.local A, cache flush 10.0.0.2 PTR, cache flush luiseduardo-VirtualBox.local AAAA, cache flush fe80::d52e:f184:1366:3ec2"
"14","43.645308","::","ff02::1:ff66:3ec2","ICMPv6","86","Neighbor Solicitation for fe80::d52e:f184:1366:3ec2"
"15","43.804665","10.0.0.2","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.251 for any sources"
"16","43.872986","10.0.0.2","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"17","44.546825","10.0.0.2","224.0.0.251","MDNS","243","Standard query response 0x0000 PTR, cache flush luiseduardo-VirtualBox.local A, cache flush 10.0.0.2 PTR, cache flush luiseduardo-VirtualBox.local AAAA, cache flush fe80::d52e:f184:1366:3ec2"
"18","44.669266","fe80::d52e:f184:1366:3ec2","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"19","44.670187","fe80::d52e:f184:1366:3ec2","ff02::2","ICMPv6","62","Router Solicitation"
"20","44.680961","fe80::d52e:f184:1366:3ec2","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"21","44.781635","PcsCompu_3c:b5:2b","Broadcast","ARP","60","ARP Announcement for 10.0.0.2"
"22","45.149259","fe80::d52e:f184:1366:3ec2","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"23","45.604757","fe80::d52e:f184:1366:3ec2","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"24","45.872766","fe80::d52e:f184:1366:3ec2","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"25","45.876670","10.0.0.2","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"26","45.906025","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"27","45.913805","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"28","46.557918","10.0.0.2","224.0.0.251","MDNS","243","Standard query response 0x0000 PTR, cache flush luiseduardo-VirtualBox.local A, cache flush 10.0.0.2 PTR, cache flush luiseduardo-VirtualBox.local AAAA, cache flush fe80::d52e:f184:1366:3ec2"
"29","46.557918","fe80::d52e:f184:1366:3ec2","ff02::fb","MDNS","216","Standard query response 0x0000 PTR, cache flush luiseduardo-VirtualBox.local AAAA, cache flush fe80::d52e:f184:1366:3ec2"
"30","46.781421","PcsCompu_3c:b5:2b","Broadcast","ARP","60","ARP Announcement for 10.0.0.2"
"31","48.529564","fe80::d52e:f184:1366:3ec2","ff02::2","ICMPv6","62","Router Solicitation"
"32","49.872938","fe80::d52e:f184:1366:3ec2","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"33","49.873914","10.0.0.2","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"34","52.529327","fe80::d52e:f184:1366:3ec2","ff02::2","ICMPv6","62","Router Solicitation"
"35","57.873858","fe80::d52e:f184:1366:3ec2","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"36","57.874870","10.0.0.2","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"37","69.833738","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"38","69.834714","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"39","70.088859","fe80::d52e:f184:1366:3ec2","ff02::fb","MDNS","101","Standard query 0x0000 PTR _nmea-0183._tcp.local, ""QM"" question"
"40","70.089835","10.0.0.2","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _nmea-0183._tcp.local, ""QM"" question"
"41","71.089549","fe80::d52e:f184:1366:3ec2","ff02::fb","MDNS","101","Standard query 0x0000 PTR _nmea-0183._tcp.local, ""QM"" question"
"42","71.089549","10.0.0.2","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _nmea-0183._tcp.local, ""QM"" question"
"43","73.092534","fe80::d52e:f184:1366:3ec2","ff02::fb","MDNS","101","Standard query 0x0000 PTR _nmea-0183._tcp.local, ""QM"" question"
"44","73.092534","10.0.0.2","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _nmea-0183._tcp.local, ""QM"" question"
"45","73.875036","fe80::d52e:f184:1366:3ec2","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"46","73.876013","10.0.0.2","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"47","77.096635","fe80::d52e:f184:1366:3ec2","ff02::fb","MDNS","101","Standard query 0x0000 PTR _nmea-0183._tcp.local, ""QM"" question"
"48","77.096635","10.0.0.2","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _nmea-0183._tcp.local, ""QM"" question"
"49","79.286645","10.0.0.2","255.255.255.255","SNMP","115","get-request 1.3.6.1.2.1.1.1.0 1.3.6.1.2.1.1.2.0 1.3.6.1.2.1.2.2.1.6.1"
"50","80.287833","10.0.0.2","255.255.255.255","SNMP","115","get-request 1.3.6.1.2.1.1.1.0 1.3.6.1.2.1.1.2.0 1.3.6.1.2.1.2.2.1.6.1"
"51","81.018293","fe80::d52e:f184:1366:3ec2","ff02::fb","MDNS","99","Standard query 0x0000 PTR _scanner._tcp.local, ""QM"" question"
"52","81.018293","10.0.0.2","224.0.0.251","MDNS","79","Standard query 0x0000 PTR _scanner._tcp.local, ""QM"" question"
"53","82.019640","fe80::d52e:f184:1366:3ec2","ff02::fb","MDNS","99","Standard query 0x0000 PTR _scanner._tcp.local, ""QM"" question"
"54","82.019640","10.0.0.2","224.0.0.251","MDNS","79","Standard query 0x0000 PTR _scanner._tcp.local, ""QM"" question"
"55","83.219106","10.0.0.2","255.255.255.255","UDP","60","36621  >  3289 Len=15"
"56","84.270952","10.0.0.2","255.255.255.255","UDP","79","59453  >  1124 Len=37"
"57","85.097303","fe80::d52e:f184:1366:3ec2","ff02::fb","MDNS","101","Standard query 0x0000 PTR _nmea-0183._tcp.local, ""QM"" question"
"58","85.097303","10.0.0.2","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _nmea-0183._tcp.local, ""QM"" question"
"59","93.828400","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"60","93.862519","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"61","101.114181","fe80::d52e:f184:1366:3ec2","ff02::fb","MDNS","101","Standard query 0x0000 PTR _nmea-0183._tcp.local, ""QM"" question"
"62","101.114181","10.0.0.2","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _nmea-0183._tcp.local, ""QM"" question"
"63","105.877280","fe80::d52e:f184:1366:3ec2","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"64","105.877280","10.0.0.2","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"65","117.828209","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"66","117.891649","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"67","127.636564","c2:02:59:88:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","355","Device ID: Victima  Port ID: FastEthernet0/0  "
"68","127.636564","c2:01:78:a0:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","355","Device ID: Gateway  Port ID: FastEthernet0/0  "
"69","141.796990","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"70","141.832353","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"71","165.875407","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"72","165.936760","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"73","169.881501","fe80::d52e:f184:1366:3ec2","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"74","169.881501","10.0.0.2","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"75","198.925059","c2:02:59:88:00:00","Broadcast","ARP","60","Gratuitous ARP for 10.0.0.3 (Reply)"
"76","198.933817","c2:01:78:a0:00:00","Broadcast","ARP","60","Gratuitous ARP for 10.0.0.1 (Reply)"
